t,movement,has_pose,is_moving,is_paused
0.0,0.0,True,False,True
0.1,0.0,True,False,True
0.2,0.0,True,False,True
0.3,0.0,True,False,True
0.4,0.0,True,False,True
0.5,0.0,True,False,True
0.6,0.0828661322593689,True,True,False
0.7,0.0416429378092289,True,True,False
0.8,0.07226989418268204,True,True,False
0.9,0.03990505263209343,True,True,False
1.0,0.023967772722244263,True,False,True
1.1,0.48634013533592224,True,True,False
1.2,0.43100616335868835,True,True,False
1.3,0.009789572097361088,True,False,True
1.4,0.018987169489264488,True,False,True
1.5,0.1090608537197113,True,True,False
1.6,0.0,True,False,True
1.7,0.00826313067227602,True,False,True
1.8,0.0,True,False,True
1.9,0.09383081644773483,True,True,False
2.0,0.013745210133492947,True,False,True
2.1,0.1449047178030014,True,True,False
2.2,0.015866948291659355,True,False,True
2.3,0.054791517555713654,True,True,False
2.4,0.00879028532654047,True,False,True
2.5,0.04037943109869957,True,True,False
2.6,0.04761403053998947,True,True,False
2.7,0.05860976502299309,True,True,False
2.8,0.11011567711830139,True,True,False
2.9,0.017494358122348785,True,False,True
3.0,0.06542085111141205,True,True,False
3.1,0.06650329381227493,True,True,False
3.2,0.057711947709321976,True,True,False
3.3,0.0063929371535778046,True,False,True
3.4,0.016143254935741425,True,False,True
3.5,0.022671476006507874,True,False,True
3.6,0.07454356551170349,True,True,False
3.7,0.010629958473145962,True,False,True
3.8,0.16724972426891327,True,True,False
3.9,0.14516231417655945,True,True,False
4.0,0.0055901058949530125,True,False,True
4.1,0.0898330956697464,True,True,False
4.2,0.05210306495428085,True,True,False
4.3,0.048560842871665955,True,True,False
4.4,0.08869558572769165,True,True,False
4.5,0.1666833609342575,True,True,False
4.6,0.21912460029125214,True,True,False
4.7,0.09152042865753174,True,True,False
4.8,0.31017354130744934,True,True,False
4.9,0.10687937587499619,True,True,False
5.0,0.0,False,False,True
5.1,0.0,True,False,True
5.2,0.1085611879825592,True,True,False
5.3,0.0593922957777977,True,True,False
5.4,0.06348839402198792,True,True,False
5.5,0.17794643342494965,True,True,False
5.6,0.23741291463375092,True,True,False
5.7,0.14328281581401825,True,True,False
5.8,0.0366704985499382,True,True,False
5.9,0.04816813766956329,True,True,False
6.0,0.04325674846768379,True,True,False
6.1,0.2510429620742798,True,True,False
6.2,0.03245508298277855,True,False,True
6.3,0.14026576280593872,True,True,False
6.4,0.0879545509815216,True,True,False
6.5,0.07967362552881241,True,True,False
6.6,0.21562014520168304,True,True,False
6.7,0.25604814291000366,True,True,False
6.8,0.10129866003990173,True,True,False
6.9,0.08361496031284332,True,True,False
7.0,0.168954536318779,True,True,False
7.1,0.025506185367703438,True,False,True
7.2,0.17412281036376953,True,True,False
7.3,0.2192579060792923,True,True,False
7.4,0.018608756363391876,True,False,True
7.5,0.15259172022342682,True,True,False
7.6,0.026774222031235695,True,False,True
7.7,0.09059812873601913,True,True,False
7.8,0.013328994624316692,True,False,True
7.9,0.013423850759863853,True,False,True
8.0,0.011966289952397346,True,False,True
8.1,0.004768358077853918,True,False,True
8.2,0.007862169295549393,True,False,True
8.3,0.005998065695166588,True,False,True
8.4,0.01708044856786728,True,False,True
8.5,0.012153874151408672,True,False,True
8.6,0.00419719610363245,True,False,True
8.7,0.006655192002654076,True,False,True
8.8,0.004201618023216724,True,False,True
8.9,0.004455103073269129,True,False,True
9.0,0.006693441420793533,True,False,True
9.1,0.010343186557292938,True,False,True
9.2,0.0147569440305233,True,False,True
9.3,0.0012271576561033726,True,False,True
9.4,0.003786106128245592,True,False,True
9.5,0.013514623045921326,True,False,True
9.6,0.004296327941119671,True,False,True
9.7,0.0012114576529711485,True,False,True
9.8,0.0016754834214225411,True,False,True
9.9,0.00406914297491312,True,False,True
10.0,0.014719819650053978,True,False,True
10.1,0.00692030182108283,True,False,True
10.2,0.008553572930395603,True,False,True
10.3,0.00784494262188673,True,False,True
10.4,0.007800705265253782,True,False,True
10.5,0.008825081400573254,True,False,True
10.6,0.009116814471781254,True,False,True
10.7,0.0075290622189641,True,False,True
10.8,0.44653135538101196,True,True,False
10.9,0.24138964712619781,True,True,False
11.0,0.07797861099243164,True,True,False
11.1,0.08125168085098267,True,True,False
11.2,0.07489210367202759,True,True,False
11.3,0.0794130265712738,True,True,False
